,Time,Total
10,2021-06-20 01:03:00,0
11,2021-06-20 01:04:00,0
12,2021-06-20 01:05:00,0
13,2021-06-20 01:06:00,0
14,2021-06-20 01:07:00,722
15,2021-06-20 01:08:00,1816
16,2021-06-20 01:09:00,2379
17,2021-06-20 01:10:00,2380
18,2021-06-20 01:11:00,2358
19,2021-06-20 01:12:00,2369
20,2021-06-20 01:13:00,2273
21,2021-06-20 01:14:00,2340
22,2021-06-20 01:15:00,2353
23,2021-06-20 01:16:00,2335
24,2021-06-20 01:17:00,2374
25,2021-06-20 01:18:00,2336
26,2021-06-20 01:19:00,2335
27,2021-06-20 01:20:00,2341
28,2021-06-20 01:21:00,2352
29,2021-06-20 01:22:00,2332
30,2021-06-20 01:23:00,2371
31,2021-06-20 01:24:00,2348
32,2021-06-20 01:25:00,2354
33,2021-06-20 01:26:00,2365
34,2021-06-20 01:27:00,2371
35,2021-06-20 01:28:00,2345
36,2021-06-20 01:29:00,2364
37,2021-06-20 01:30:00,2335
38,2021-06-20 01:31:00,2342
39,2021-06-20 01:32:00,2363
40,2021-06-20 01:33:00,2355
41,2021-06-20 01:34:00,2355
42,2021-06-20 01:35:00,2350
43,2021-06-20 01:36:00,2346
44,2021-06-20 01:37:00,2361
45,2021-06-20 01:38:00,2332
46,2021-06-20 01:39:00,2324
47,2021-06-20 01:40:00,2337
48,2021-06-20 01:41:00,2332
49,2021-06-20 01:42:00,2312
50,2021-06-20 01:43:00,2336
51,2021-06-20 01:44:00,2277
52,2021-06-20 01:45:00,2207
53,2021-06-20 01:46:00,2338
54,2021-06-20 01:47:00,2346
55,2021-06-20 01:48:00,2337
56,2021-06-20 01:49:00,2338
57,2021-06-20 01:50:00,2274
58,2021-06-20 01:51:00,2265
59,2021-06-20 01:52:00,2276
60,2021-06-20 01:53:00,2344
61,2021-06-20 01:54:00,2347
62,2021-06-20 01:55:00,2361
63,2021-06-20 01:56:00,2346
64,2021-06-20 01:57:00,2360
65,2021-06-20 01:58:00,2333
66,2021-06-20 01:59:00,2348
67,2021-06-20 02:00:00,2348
68,2021-06-20 02:01:00,2369
69,2021-06-20 02:02:00,2266
70,2021-06-20 02:03:00,2186
71,2021-06-20 02:04:00,2322
72,2021-06-20 02:05:00,2270
73,2021-06-20 02:06:00,2419
74,2021-06-20 02:07:00,2350
75,2021-06-20 02:08:00,2349
76,2021-06-20 02:09:00,2333
77,2021-06-20 02:10:00,2342
78,2021-06-20 02:11:00,2372
79,2021-06-20 02:12:00,2357
80,2021-06-20 02:13:00,2338
81,2021-06-20 02:14:00,2260
82,2021-06-20 02:15:00,2331
83,2021-06-20 02:16:00,2354
84,2021-06-20 02:17:00,2342
85,2021-06-20 02:18:00,2261
86,2021-06-20 02:19:00,2387
87,2021-06-20 02:20:00,2328
88,2021-06-20 02:21:00,2348
89,2021-06-20 02:22:00,2362
90,2021-06-20 02:23:00,2347
91,2021-06-20 02:24:00,2335
92,2021-06-20 02:25:00,2357
93,2021-06-20 02:26:00,2365
94,2021-06-20 02:27:00,2357
95,2021-06-20 02:28:00,2350
96,2021-06-20 02:29:00,2266
97,2021-06-20 02:30:00,2341
98,2021-06-20 02:31:00,1187
99,2021-06-20 02:32:00,0
100,2021-06-20 02:33:00,0
101,2021-06-20 02:34:00,0
